#Data tag : 23v1 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/fb),recorded(/fb),avgpu,source
359571:8210,1:1,09/29/22 15:29:19,STABLE BEAMS,6800,0.000016084,0.000016050,35.1,HFET
359571:8210,2:2,09/29/22 15:29:43,STABLE BEAMS,6800,0.000016080,0.000016060,35.1,HFET
359571:8210,3:3,09/29/22 15:30:06,STABLE BEAMS,6800,0.000016079,0.000016058,35.0,HFET
359571:8210,4:4,09/29/22 15:30:29,STABLE BEAMS,6800,0.000016076,0.000016055,35.0,HFET
359571:8210,7:7,09/29/22 15:31:39,STABLE BEAMS,6800,0.000016069,0.000008566,35.0,HFET
359571:8210,8:8,09/29/22 15:32:03,STABLE BEAMS,6800,0.000016069,0.000016040,35.0,HFET
359571:8210,9:9,09/29/22 15:32:26,STABLE BEAMS,6800,0.000016068,0.000016039,35.0,HFET
359571:8210,10:10,09/29/22 15:32:49,STABLE BEAMS,6800,0.000016066,0.000016037,35.0,HFET
359571:8210,11:11,09/29/22 15:33:12,STABLE BEAMS,6800,0.000016065,0.000016036,35.0,HFET
359571:8210,12:12,09/29/22 15:33:36,STABLE BEAMS,6800,0.000016064,0.000016035,35.0,HFET
359571:8210,13:13,09/29/22 15:33:59,STABLE BEAMS,6800,0.000016064,0.000016035,35.0,HFET
359571:8210,14:14,09/29/22 15:34:22,STABLE BEAMS,6800,0.000016061,0.000015802,35.0,HFET
359571:8210,15:15,09/29/22 15:34:46,STABLE BEAMS,6800,0.000016057,0.000016028,35.0,HFET
359571:8210,16:16,09/29/22 15:35:09,STABLE BEAMS,6800,0.000016054,0.000016025,35.0,HFET
359571:8210,18:18,09/29/22 15:36:00,STABLE BEAMS,6800,0.000016053,0.000013558,35.0,HFET
359571:8210,19:19,09/29/22 15:36:19,STABLE BEAMS,6800,0.000016052,0.000016022,35.0,HFET
359571:8210,20:20,09/29/22 15:36:42,STABLE BEAMS,6800,0.000016051,0.000016021,35.0,HFET
359571:8210,21:21,09/29/22 15:37:06,STABLE BEAMS,6800,0.000016049,0.000016019,35.0,HFET
359571:8210,22:22,09/29/22 15:37:29,STABLE BEAMS,6800,0.000016042,0.000016011,35.0,HFET
359571:8210,23:23,09/29/22 15:37:52,STABLE BEAMS,6800,0.000016035,0.000016006,35.0,HFET
359571:8210,24:24,09/29/22 15:38:15,STABLE BEAMS,6800,0.000016033,0.000016003,34.9,HFET
359571:8210,25:25,09/29/22 15:38:39,STABLE BEAMS,6800,0.000016028,0.000016000,34.9,HFET
359571:8210,26:26,09/29/22 15:39:02,STABLE BEAMS,6800,0.000016025,0.000015996,34.9,HFET
359571:8210,27:27,09/29/22 15:39:25,STABLE BEAMS,6800,0.000016022,0.000015993,34.9,HFET
359571:8210,28:28,09/29/22 15:39:49,STABLE BEAMS,6800,0.000016018,0.000015989,34.9,HFET
359571:8210,30:30,09/29/22 15:40:35,STABLE BEAMS,6800,0.000016017,0.000015987,34.9,HFET
359571:8210,31:31,09/29/22 15:40:59,STABLE BEAMS,6800,0.000016015,0.000015985,34.9,HFET
359571:8210,32:32,09/29/22 15:41:22,STABLE BEAMS,6800,0.000016011,0.000015982,34.9,HFET
359571:8210,33:33,09/29/22 15:41:45,STABLE BEAMS,6800,0.000016008,0.000015979,34.9,HFET
359571:8210,34:34,09/29/22 15:42:09,STABLE BEAMS,6800,0.000016006,0.000015977,34.9,HFET
359571:8210,35:35,09/29/22 15:42:32,STABLE BEAMS,6800,0.000016007,0.000015978,34.9,HFET
359571:8210,36:36,09/29/22 15:42:55,STABLE BEAMS,6800,0.000016004,0.000015975,34.9,HFET
359571:8210,37:37,09/29/22 15:43:18,STABLE BEAMS,6800,0.000016004,0.000015975,34.9,HFET
359571:8210,38:38,09/29/22 15:43:42,STABLE BEAMS,6800,0.000016006,0.000015977,34.9,HFET
359571:8210,39:39,09/29/22 15:44:05,STABLE BEAMS,6800,0.000016004,0.000015975,34.9,HFET
359571:8210,41:41,09/29/22 15:44:52,STABLE BEAMS,6800,0.000016005,0.000015975,34.9,HFET
359571:8210,42:42,09/29/22 15:45:15,STABLE BEAMS,6800,0.000016002,0.000015973,34.9,HFET
359571:8210,43:43,09/29/22 15:45:38,STABLE BEAMS,6800,0.000016001,0.000015971,34.9,HFET
359571:8210,44:44,09/29/22 15:46:02,STABLE BEAMS,6800,0.000015998,0.000015969,34.9,HFET
359571:8210,45:45,09/29/22 15:46:25,STABLE BEAMS,6800,0.000015985,0.000015956,34.8,HFET
359571:8210,46:46,09/29/22 15:46:48,STABLE BEAMS,6800,0.000015984,0.000015955,34.8,HFET
359571:8210,47:47,09/29/22 15:47:12,STABLE BEAMS,6800,0.000015987,0.000015958,34.8,HFET
359571:8210,48:48,09/29/22 15:47:35,STABLE BEAMS,6800,0.000015989,0.000015960,34.9,HFET
359571:8210,49:49,09/29/22 15:47:58,STABLE BEAMS,6800,0.000015990,0.000015961,34.9,HFET
359571:8210,50:50,09/29/22 15:48:22,STABLE BEAMS,6800,0.000015988,0.000015959,34.9,HFET
359571:8210,52:52,09/29/22 15:49:08,STABLE BEAMS,6800,0.000015987,0.000015958,34.8,HFET
359571:8210,53:53,09/29/22 15:49:31,STABLE BEAMS,6800,0.000015986,0.000015957,34.8,HFET
359571:8210,54:54,09/29/22 15:49:55,STABLE BEAMS,6800,0.000015987,0.000015957,34.8,HFET
359571:8210,55:55,09/29/22 15:50:18,STABLE BEAMS,6800,0.000015985,0.000015925,34.8,HFET
359571:8210,56:56,09/29/22 15:50:41,STABLE BEAMS,6800,0.000015985,0.000015956,34.8,HFET
359571:8210,57:57,09/29/22 15:51:05,STABLE BEAMS,6800,0.000015984,0.000015955,34.8,HFET
359571:8210,58:58,09/29/22 15:51:28,STABLE BEAMS,6800,0.000015986,0.000015956,34.8,HFET
359571:8210,59:59,09/29/22 15:51:51,STABLE BEAMS,6800,0.000015981,0.000015952,34.8,HFET
359571:8210,60:60,09/29/22 15:52:15,STABLE BEAMS,6800,0.000015980,0.000015951,34.8,HFET
359571:8210,61:61,09/29/22 15:52:38,STABLE BEAMS,6800,0.000015974,0.000015945,34.8,HFET
359571:8210,63:63,09/29/22 15:53:24,STABLE BEAMS,6800,0.000015967,0.000015938,34.8,HFET
359571:8210,64:64,09/29/22 15:53:48,STABLE BEAMS,6800,0.000015962,0.000015933,34.8,HFET
359571:8210,65:65,09/29/22 15:54:11,STABLE BEAMS,6800,0.000015957,0.000015927,34.8,HFET
359571:8210,66:66,09/29/22 15:54:34,STABLE BEAMS,6800,0.000015952,0.000015922,34.8,HFET
359571:8210,67:67,09/29/22 15:54:58,STABLE BEAMS,6800,0.000015949,0.000015920,34.8,HFET
359571:8210,68:68,09/29/22 15:55:21,STABLE BEAMS,6800,0.000015946,0.000015917,34.8,HFET
359571:8210,69:69,09/29/22 15:55:44,STABLE BEAMS,6800,0.000015942,0.000015913,34.8,HFET
359571:8210,70:70,09/29/22 15:56:08,STABLE BEAMS,6800,0.000015940,0.000015911,34.7,HFET
359571:8210,71:71,09/29/22 15:56:31,STABLE BEAMS,6800,0.000015943,0.000015913,34.8,HFET
359571:8210,72:72,09/29/22 15:56:54,STABLE BEAMS,6800,0.000015945,0.000015915,34.8,HFET
359571:8210,74:74,09/29/22 15:57:41,STABLE BEAMS,6800,0.000015941,0.000015913,34.7,HFET
359571:8210,75:75,09/29/22 15:58:04,STABLE BEAMS,6800,0.000015943,0.000015914,34.8,HFET
359571:8210,76:76,09/29/22 15:58:28,STABLE BEAMS,6800,0.000015942,0.000015913,34.8,HFET
359571:8210,77:77,09/29/22 15:58:51,STABLE BEAMS,6800,0.000015939,0.000015910,34.7,HFET
359571:8210,78:78,09/29/22 15:59:14,STABLE BEAMS,6800,0.000015939,0.000015910,34.7,HFET
359571:8210,79:79,09/29/22 15:59:38,STABLE BEAMS,6800,0.000015940,0.000015910,34.7,HFET
359571:8210,80:80,09/29/22 16:00:01,STABLE BEAMS,6800,0.000015935,0.000015907,34.7,HFET
359571:8210,81:81,09/29/22 16:00:24,STABLE BEAMS,6800,0.000015935,0.000015907,34.7,HFET
359571:8210,82:82,09/29/22 16:00:47,STABLE BEAMS,6800,0.000015931,0.000015902,34.7,HFET
359571:8210,83:83,09/29/22 16:01:11,STABLE BEAMS,6800,0.000015931,0.000015902,34.7,HFET
359571:8210,85:85,09/29/22 16:01:57,STABLE BEAMS,6800,0.000015924,0.000015895,34.7,HFET
359571:8210,86:86,09/29/22 16:02:21,STABLE BEAMS,6800,0.000015920,0.000015891,34.7,HFET
359571:8210,87:87,09/29/22 16:02:44,STABLE BEAMS,6800,0.000015917,0.000015888,34.7,HFET
